ProductId	Description	BinLocation	UnitPrice
459079355-5	Mix - Cappucino Cocktail	10544-394	13.17
823784499-8	Horseradish - Prepared	0069-4395	12.50
416841315-2	Sherbet - Raspberry	35356-969	10.91
918929129-8	Smirnoff Green Apple Twist	60505-0195	12.11
690247463-X	Soup - Tomato Mush. Florentine	60764-001	12.50
650678800-3	Wine - Cave Springs Dry Riesling	0409-7992	17.84
123610158-8	Pickle - Dill	59779-340	11.94
291301424-0	Lamb - Rack	0615-1378	19.06
905062235-6	Vanilla Beans	55319-277	12.32
184291853-2	Cheese - Goat With Herbs	51285-081	10.42
002288375-4	Wine - Touraine Azay - Le - Rideau	0781-3033	14.33
198270672-4	Towel - Roll White	49349-277	13.34
368695545-8	Mackerel Whole Fresh	76446-003	14.23
103153889-5	Emulsifier	12488-0300	10.67
529402820-4	Sprouts - Onion	49349-212	11.15
978784563-7	Avocado	51442-545	13.53
703962746-9	Lamb - Rack	41520-012	19.21
840259765-3	Truffle Paste	11673-377	10.47
700279130-3	Veal - Insides, Grains	58593-255	12.82
668185062-6	Beef Tenderloin Aaa	50114-7026	13.89
623231705-X	Parasol Pick Stir Stick	41167-0172	17.49
104503179-8	Octopus	10812-340	15.50
602207930-6	Oil - Olive, Extra Virgin	25021-655	16.57
088658087-0	Chicken - Bones	36800-056	12.49
840204456-5	Pineapple - Regular	35356-738	10.39
581062852-4	Juice - Tomato, 10 Oz	49035-427	15.23
851158939-2	Flour - Buckwheat, Dark	63739-573	15.08
774892156-3	Sugar - Sweet N Low, Individual	58118-0159	15.58
286758881-2	Wine - White, Colubia Cresh	60760-230	16.36
202857777-0	Napkin White	64720-125	17.79
015830519-1	Tomatoes - Cherry	21695-102	17.63
087824525-1	Trueblue - Blueberry	0093-5552	15.38
671840589-2	Mix - Cappucino Cocktail	67457-424	11.66
337381999-7	Veal - Tenderloin, Untrimmed	59779-172	18.51
490285283-7	Sesame Seed	55714-4424	12.09
175443749-4	Table Cloth 120 Round White	0143-1292	14.30
951356118-6	Wine - Cotes Du Rhone Parallele	55154-1057	13.74
121677086-7	Water - Green Tea Refresher	68180-837	13.08
894579231-7	Soup - Beef, Base Mix	41250-002	10.35
062276596-5	Crab - Back Fin Meat, Canned	50474-801	15.24
657420119-5	Cups 10oz Trans	15687-001	10.61
201974931-9	Emulsifier	0904-5939	16.10
113778846-1	Wine - White, Lindemans Bin 95	23155-056	15.35
825058869-X	Juice - Ocean Spray Cranberry	49035-977	17.01
135738260-X	Lobster - Tail 6 Oz	51079-169	13.79
760652096-8	Juice - Ocean Spray Cranberry	10736-013	18.46
396828532-8	Olives - Green, Pitted	76439-102	12.51
689187167-0	Danishes - Mini Raspberry	55316-065	11.47
987486596-2	Sauce - Roasted Red Pepper	66472-037	16.20
479770039-4	Soup - Campbells, Butternut	15127-550	16.44
502389059-7	Cheese - Provolone	42507-467	18.82
889129392-X	Nori Sea Weed - Gold Label	52257-1240	13.49
168086696-6	Whmis Spray Bottle Graduated	68258-3040	17.88
595909762-1	Pork - Belly Fresh	0113-0974	18.83
127268662-0	The Pop Shoppe - Black Cherry	0363-3450	17.03
792428781-7	Beef - Shank	49035-268	12.36
677930740-8	Soup - Cream Of Potato / Leek	59672-0130	15.28
147996403-4	Soup - Campbells, Beef Barley	54868-6393	10.55
000375087-6	Wine - Sauvignon Blanc Oyster	54868-4030	14.69
705681769-6	Chips - Doritos	50036-514	12.86
690260844-X	Eggplant - Regular	50844-348	13.62
270235738-5	Basil - Fresh	58593-781	18.33
325658910-3	Swiss Chard - Red	44911-0119	19.73
297399814-X	Onions - Green	36987-1874	17.82
312378212-3	Browning Caramel Glace	0597-0158	13.67
296010901-5	Pork - Ground	63629-3642	13.32
204907590-1	Bar - Sweet And Salty Chocolate	14222-1900	17.77
330595817-0	Spice - Montreal Steak Spice	64942-1208	15.77
968483588-4	Lambcasing	0069-0971	18.28
140111955-7	Buffalo - Tenderloin	61657-0527	16.28
484751494-7	Crab Brie In Phyllo	52125-294	11.28
576040145-9	Tomatoes - Vine Ripe, Red	68776-1006	11.99
591952832-X	Goat - Leg	49349-061	14.19
872029283-X	Bread Foccacia Whole	65003-008	18.64
930716091-0	Butter - Salted, Micro	0338-1021	11.90
174102832-9	Napkin White - Starched	58118-2273	19.98
904069734-5	Orange Roughy 6/8 Oz	0591-3767	12.25
381769315-X	Prunes - Pitted	49349-924	10.77
925503356-5	Shrimp - Black Tiger 6 - 8	53157-120	18.72
192735907-4	Marsala - Sperone, Fine, D.o.c.	55154-0671	14.14
417890786-7	Flour - Strong	68343-001	18.45
220800680-1	Foil - 4oz Custard Cup	76045-008	14.61
414125930-6	Bread Base - Toscano	10096-0311	16.53
177593893-X	Wine - Prosecco Valdobienne	68472-095	19.78
019576052-2	Squid Ink	0268-6001	14.70
421214339-9	Duck - Breast	11822-3420	18.03
540237407-4	Ham - Black Forest	60760-625	15.32
454819724-9	Pork - Bacon, Double Smoked	54868-6022	14.94
053880623-0	Sage - Ground	49288-0149	16.12
903738195-2	Lettuce - California Mix	10578-033	16.55
497134607-4	Spic And Span All Purpose	52605-114	14.81
976035727-5	Truffle Cups - Red	55312-463	14.91
402812649-5	Bowl 12 Oz - Showcase 92012	63323-104	14.63
059533631-0	Iced Tea - Lemon, 340ml	37012-047	15.20
899809327-8	Quail - Eggs, Fresh	42549-565	18.20
330674758-0	Clam - Cherrystone	52533-105	19.51
810396167-1	Juice - Clam, 46 Oz	49349-029	17.51
601682419-4	Bread Base - Goodhearth	0603-5449	13.25
759364149-X	Flower - Dish Garden	67938-0866	13.02
855749218-9	Jagermeister	57520-0426	11.27
168896011-2	Yoplait Drink	66854-001	13.00
153828294-1	Raisin - Dark	21130-190	13.26
502307454-4	Appetizer - Veg Assortment	60429-309	12.22
918243149-3	Gloves - Goldtouch Disposable	63323-660	11.15
142808026-0	Slt - Individual Portions	42571-111	13.39
409968137-8	Trout - Rainbow, Fresh	53345-009	17.44
993359814-7	Onions - Vidalia	57520-0371	15.47
539939901-6	Goat - Leg	54575-218	14.93
130606631-X	Pastry - French Mini Assorted	52125-211	11.29
328541866-4	Taro Root	36987-3127	15.63
166156152-7	Glass - Wine, Plastic, Clear 5 Oz	68788-9865	17.84
222991402-2	Peppercorns - Green	43063-381	11.30
417354622-X	Oil - Canola	57627-156	14.34
619820219-4	Glass - Juice Clear 5oz 55005	49999-097	15.34
093515432-9	Rice - Jasmine Sented	37012-351	16.42
124300944-6	Mudslide	14783-095	16.66
293837572-7	Strawberries - California	37000-053	11.06
911244640-8	Chambord Royal	37205-519	14.55
200181249-3	Tia Maria	55154-4617	11.78
918520603-2	Beef - Montreal Smoked Brisket	46122-178	10.76
922121338-2	Pepper - Jalapeno	54868-6224	14.19
201780267-0	Toothpick Frilled	49288-0623	15.87
